MotionNumber;TouchNumber;XCoordinate;YCoordinate;Size;Time;Type
0;0;552.2330322265625;763.3660888671875;0.13461539149284363;374301186;DU
0;0;552.2330322265625;763.3660888671875;0.11538462340831757;374301201;DU
0;0;548.1126098632813;743.9295654296875;0.13461539149284363;374301224;DU
0;0;542.9244384765625;714.1541748046875;0.11538462340831757;374301240;DU
0;0;544.0156860351563;689.084716796875;0.1538461595773697;374301257;DU
0;0;546.9417724609375;661.1329345703125;0.1538461595773697;374301274;DU
0;0;553.0657348632813;631.217041015625;0.17307692766189575;374301290;DU
0;0;564.2428588867188;597.2808227539063;0.11538462340831757;374301307;DU
0;0;570.2080688476563;583.5066528320313;0.11538462340831757;374301312;DU
1;0;523.2732543945313;796.34033203125;0.07692307978868484;374301848;DU
1;0;520.1561889648438;778.1465454101563;0.13461539149284363;374301874;DU
1;0;516.1942749023438;742.8728637695313;0.11538462340831757;374301890;DU
1;0;516.9793090820313;715.9432983398438;0.09615384787321091;374301907;DU
1;0;518.848876953125;692.7196655273438;0.13461539149284363;374301924;DU
1;0;522.0444946289063;673.7037963867188;0.09615384787321091;374301940;DU
1;0;525.143798828125;658.0823974609375;0.09615384787321091;374301957;DU
1;0;530.4461059570313;642.8508911132813;0.17307692766189575;374301974;DU
1;0;535.8547973632813;625.6766967773438;0.1538461595773697;374301990;DU
1;0;549.7611694335938;592.6925048828125;0.11538462340831757;374302007;DU
2;0;205.71429443359375;811.3286743164063;0.05769231170415878;374302624;DU
2;0;195.16490173339844;750.6328735351563;0.11538462340831757;374302640;DU
2;0;187.20285034179688;722.9185180664063;0.07692307978868484;374302657;DU
2;0;176.2552032470703;682.4293212890625;0.11538462340831757;374302673;DU
2;0;161.74642944335938;631.810546875;0.05769231170415878;374302690;DU
2;0;148.02764892578125;587.482421875;0.11538462340831757;374302707;DU
2;0;135.38406372070313;550.5521240234375;0.1538461595773697;374302724;DU
2;0;126.82386016845703;526.5511474609375;0.11538462340831757;374302731;DU
3;0;193.73092651367188;757.3707885742188;0.09615384787321091;374303444;DU
3;0;193.73092651367188;757.3707885742188;0.07692307978868484;374303474;DU
3;0;202.07691955566406;708.6563720703125;0.09615384787321091;374303490;DU
3;0;197.75186157226563;681.7081909179688;0.09615384787321091;374303507;DU
3;0;191.4360809326172;645.669921875;0.11538462340831757;374303524;DU
3;0;179.0262451171875;592.59912109375;0.13461539149284363;374303540;DU
4;0;203.71707153320313;757.3707885742188;0.11538462340831757;374304240;DU
4;0;203.71707153320313;757.3707885742188;0.13461539149284363;374304257;DU
4;0;202.55906677246094;688.11083984375;0.05769231170415878;374304274;DU
4;0;193.1111297607422;641.9783325195313;0.11538462340831757;374304290;DU
4;0;181.4753875732422;598.4247436523438;0.17307692766189575;374304307;DU
4;0;156.97877502441406;539.391357421875;0.09615384787321091;374304324;DU
4;0;153.78640747070313;532.5464477539063;0.11538462340831757;374304325;DU
5;0;202.71844482421875;751.37548828125;0.05769231170415878;374304857;DU
5;0;202.71844482421875;751.37548828125;0.11538462340831757;374304874;DU
5;0;203.7739715576172;697.5001831054688;0.11538462340831757;374304890;DU
5;0;200.06478881835938;665.9457397460938;0.05769231170415878;374304907;DU
5;0;194.35546875;635.5928955078125;0.07692307978868484;374304924;DU
5;0;185.39170837402344;603.263427734375;0.11538462340831757;374304940;DU
5;0;167.8980255126953;557.8546752929688;0.11538462340831757;374304957;DU
6;0;247.65603637695313;742.3825073242188;0.11538462340831757;374305487;DU
6;0;242.2362060546875;685.1492919921875;0.11538462340831757;374305507;DU
6;0;234.44618225097656;645.3173828125;0.17307692766189575;374305524;DU
6;0;226.4754638671875;608.5211181640625;0.1538461595773697;374305540;DU
6;0;199.01951599121094;545.3593139648438;0.09615384787321091;374305557;DU
6;0;189.73648071289063;524.5526733398438;0.11538462340831757;374305561;DU
7;0;207.71151733398438;752.3746948242188;0.11538462340831757;374305990;DU
7;0;200.9910888671875;686.3990478515625;0.09615384787321091;374306007;DU
7;0;189.17625427246094;641.9974365234375;0.09615384787321091;374306024;DU
7;0;178.18853759765625;602.4153442382813;0.13461539149284363;374306040;DU
7;0;160.38247680664063;559.983154296875;0.09615384787321091;374306057;DU
7;0;149.79196166992188;537.5425415039063;0.13461539149284363;374306064;DU
8;0;526.2691040039063;748.3778076171875;0.07692307978868484;374306923;DU
8;0;532.543701171875;708.231689453125;0.11538462340831757;374306940;DU
8;0;538.5194702148438;682.0433349609375;0.13461539149284363;374306957;DU
8;0;547.7031860351563;649.3316040039063;0.1538461595773697;374306974;DU
8;0;565.694091796875;608.1477661132813;0.11538462340831757;374306990;DU
8;0;575.2011108398438;591.5003662109375;0.11538462340831757;374306995;DU
9;0;494.3134765625;837.308349609375;0.1538461595773697;374307720;DU
9;0;494.3134765625;788.997802734375;0.11538462340831757;374307740;DU
9;0;496.5389099121094;742.5684814453125;0.13461539149284363;374307757;DU
9;0;499.68817138671875;699.2567749023438;0.1538461595773697;374307774;DU
9;0;511.15264892578125;653.9326171875;0.11538462340831757;374307790;DU
9;0;513.287109375;646.4574584960938;0.09615384787321091;374307793;DU
10;0;479.3342590332031;748.3778076171875;0.07692307978868484;374308024;DU
10;0;483.3052062988281;724.5377197265625;0.1538461595773697;374308040;DU
10;0;489.0457458496094;688.832763671875;0.13461539149284363;374308057;DU
10;0;493.82769775390625;661.2024536132813;0.13461539149284363;374308074;DU
10;0;501.4484558105469;629.890625;0.11538462340831757;374308090;DU
10;0;521.2760009765625;591.5003662109375;0.13461539149284363;374308097;DU
11;0;485.3259582519531;778.3544311523438;0.09615384787321091;374308357;DU
11;0;491.0828552246094;729.3910522460938;0.11538462340831757;374308374;DU
11;0;500.8685302734375;685.7940063476563;0.07692307978868484;374308390;DU
