MotionNumber;TouchNumber;XCoordinate;YCoordinate;Size;Time;Type
0;0;162.0546417236328;651.074462890625;0.1538461595773697;376383515;DU
0;0;192.83331298828125;573.3536987304688;0.11538462340831757;376383532;DU
0;0;219.76654052734375;482.86102294921875;0.13461539149284363;376383548;DU
0;0;246.44161987304688;392.9222106933594;0.11538462340831757;376383565;DU
0;0;262.98944091796875;314.15869140625;0.1538461595773697;376383582;DU
0;0;271.12347412109375;252.265380859375;0.11538462340831757;376383598;DU
0;0;274.8380432128906;203.0679168701172;0.11538462340831757;376383615;DU
0;0;273.9254150390625;169.2534942626953;0.13461539149284363;376383632;DU
0;0;272.3114929199219;144.5054473876953;0.1538461595773697;376383648;DU
1;0;529.264892578125;731.39111328125;0.13461539149284363;376383698;DU
1;0;529.264892578125;731.39111328125;0.17307692766189575;376383715;DU
1;0;529.264892578125;731.39111328125;0.1538461595773697;376383724;DU
1;0;510.5690002441406;678.9012451171875;0.19230769574642181;376383748;DU
1;0;498.0853576660156;645.9978637695313;0.1538461595773697;376383765;DU
1;0;477.1426086425781;603.0695190429688;0.19230769574642181;376383782;DU
1;0;459.61370849609375;556.7374877929688;0.13461539149284363;376383798;DU
1;0;440.7743835449219;502.94708251953125;0.13461539149284363;376383815;DU
1;0;422.9456481933594;448.1326904296875;0.13461539149284363;376383832;DU
1;0;405.40887451171875;382.283935546875;0.17307692766189575;376383848;DU
1;0;389.7430419921875;298.30914306640625;0.17307692766189575;376383865;DU
1;0;389.4591064453125;296.7306823730469;0.17307692766189575;376383865;DU
2;0;170.1378631591797;566.5693359375;0.09615384787321091;376384015;DU
2;0;185.5052490234375;497.74700927734375;0.09615384787321091;376384032;DU
2;0;202.80764770507813;409.27081298828125;0.11538462340831757;376384048;DU
2;0;220.20823669433594;316.01666259765625;0.07692307978868484;376384065;DU
2;0;233.8602752685547;243.90213012695313;0.03846153989434242;376384082;DU
2;0;240.3679656982422;190.56155395507813;0.03846153989434242;376384098;DU
3;0;522.274658203125;730.3919067382813;0.17307692766189575;376384211;DU
3;0;506.911376953125;678.5093994140625;0.1538461595773697;376384232;DU
3;0;489.6199035644531;618.7039184570313;0.09615384787321091;376384248;DU
3;0;471.908203125;556.3046875;0.17307692766189575;376384265;DU
3;0;460.6610107421875;482.7724609375;0.13461539149284363;376384282;DU
3;0;452.69268798828125;404.8606872558594;0.11538462340831757;376384298;DU
3;0;453.3703308105469;381.6643371582031;0.17307692766189575;376384305;DU
4;0;191.29209899902344;561.5841064453125;0.13461539149284363;376384448;DU
4;0;210.4963836669922;482.7332763671875;0.07692307978868484;376384465;DU
4;0;228.83323669433594;381.60089111328125;0.05769231170415878;376384482;DU
4;0;247.23907470703125;288.44305419921875;0.07692307978868484;376384498;DU
4;0;253.73214721679688;219.57913208007813;0.11538462340831757;376384515;DU
4;0;253.64772033691406;177.54403686523438;0.05769231170415878;376384532;DU
4;0;253.64772033691406;169.82981872558594;0.11538462340831757;376384536;DU
5;0;546.2413330078125;771.35986328125;0.1538461595773697;376384630;DU
5;0;529.0016479492188;727.5708618164063;0.11538462340831757;376384665;DU
5;0;516.9539794921875;662.8884887695313;0.13461539149284363;376384682;DU
5;0;505.7975158691406;592.0;0.17307692766189575;376384698;DU
5;0;497.7425842285156;503.00262451171875;0.11538462340831757;376384715;DU
5;0;492.60498046875;410.099853515625;0.11538462340831757;376384732;DU
5;0;492.31622314453125;395.65338134765625;0.1538461595773697;376384735;DU
6;0;508.88421630859375;658.4464721679688;0.1538461595773697;376385048;DU
6;0;480.4096984863281;590.3565063476563;0.1538461595773697;376385065;DU
6;0;460.10186767578125;507.270751953125;0.17307692766189575;376385082;DU
6;0;450.5404968261719;423.0845947265625;0.17307692766189575;376385098;DU
6;0;449.3758850097656;338.9166259765625;0.17307692766189575;376385115;DU
6;0;456.7436828613281;268.3505554199219;0.1538461595773697;376385132;DU
6;0;466.1498718261719;195.36373901367188;0.1538461595773697;376385148;DU
7;0;591.134765625;711.5969848632813;0.1538461595773697;376385415;DU
7;0;548.0385131835938;639.0626220703125;0.1538461595773697;376385432;DU
7;0;512.032958984375;554.835693359375;0.13461539149284363;376385448;DU
7;0;494.68743896484375;473.83929443359375;0.11538462340831757;376385465;DU
7;0;489.7883605957031;402.6917419433594;0.11538462340831757;376385482;DU
7;0;492.06768798828125;337.04998779296875;0.11538462340831757;376385498;DU
7;0;496.7579345703125;269.48193359375;0.19230769574642181;376385515;DU
7;0;499.3065185546875;247.7689208984375;0.17307692766189575;376385521;DU
8;0;136.80999755859375;593.4988403320313;0.17307692766189575;376386615;DU
8;0;167.40292358398438;496.50482177734375;0.09615384787321091;376386632;DU
8;0;191.18849182128906;391.6869812011719;0.07692307978868484;376386648;DU
8;0;209.4207763671875;282.4859924316406;0.17307692766189575;376386665;DU
8;0;216.2074737548828;211.18130493164063;0.1538461595773697;376386682;DU
8;0;216.69903564453125;161.91851806640625;0.19230769574642181;376386698;DU
8;0;213.65855407714844;134.4997100830078;0.09615384787321091;376386715;DU
9;0;495.31207275390625;628.00146484375;0.19230769574642181;376386965;DU
9;0;494.3134765625;567.2935791015625;0.09615384787321091;376386982;DU
9;0;494.3134765625;498.75531005859375;0.11538462340831757;376386998;DU
9;0;491.65728759765625;418.3020935058594;0.13461539149284363;376387015;DU
9;0;486.8134765625;332.686767578125;0.11538462340831757;376387032;DU
9;0;485.3259582519531;294.73223876953125;0.11538462340831757;376387039;DU
10;0;196.24671936035156;555.6083984375;0.1538461595773697;376387232;DU
10;0;215.04737854003906;433.26116943359375;0.13461539149284363;376387248;DU
10;0;227.68377685546875;319.213134765625;0.1538461595773697;376387264;DU
10;0;232.90457153320313;207.7523956298828;0.07692307978868484;376387282;DU
10;0;226.91163635253906;142.6653594970703;0.11538462340831757;376387298;DU
10;0;219.0956268310547;95.92713928222656;0.13461539149284363;376387315;DU
10;0;212.12167358398438;71.57171630859375;0.09615384787321091;376387332;DU
10;0;207.21221923828125;51.92193603515625;0.05769231170415878;376387348;DU
10;0;206.71290588378906;48.924278259277344;0.05769231170415878;376387354;DU
11;0;508.2940368652344;671.4379272460938;0.17307692766189575;376387448;DU
11;0;498.4927978515625;609.418212890625;0.13461539149284363;376387465;DU
11;0;487.90850830078125;545.2553100585938;0.11538462340831757;376387482;DU
11;0;479.1077880859375;478.51385498046875;0.11538462340831757;376387498;DU
11;0;472.7467041015625;413.27301025390625;0.07692307978868484;376387515;DU
11;0;469.36260986328125;361.9188537597656;0.11538462340831757;376387532;DU
11;0;469.34814453125;309.1355285644531;0.09615384787321091;376387548;DU
11;0;470.4848937988281;270.7071838378906;0.11538462340831757;376387565;DU
12;0;160.3330841064453;577.3236694335938;0.13461539149284363;376387715;DU
12;0;189.691650390625;474.64013671875;0.09615384787321091;376387732;DU
12;0;210.31268310546875;359.4054260253906;0.13461539149284363;376387748;DU
12;0;223.63330078125;249.9942626953125;0.05769231170415878;376387765;DU
12;0;227.68377685546875;169.7615203857422;0.07692307978868484;376387782;DU
12;0;223.2649688720703;125.98947143554688;0.11538462340831757;376387798;DU
13;0;514.2857055664063;665.442626953125;0.19230769574642181;376387930;DU
13;0;507.197265625;592.96728515625;0.1538461595773697;376387948;DU
13;0;503.5812072753906;516.9338989257813;0.13461539149284363;376387965;DU
13;0;501.3426513671875;432.8067932128906;0.11538462340831757;376387982;DU
13;0;497.2523193359375;344.45269775390625;0.09615384787321091;376387998;DU
13;0;496.3106994628906;315.7158508300781;0.11538462340831757;376388003;DU
14;0;156.39402770996094;582.4976806640625;0.1538461595773697;376388165;DU
14;0;184.61611938476563;475.29498291015625;0.09615384787321091;376388182;DU
14;0;207.6826629638672;349.9400939941406;0.17307692766189575;376388198;DU
14;0;222.24313354492188;241.1656494140625;0.13461539149284363;376388215;DU
14;0;224.8890380859375;169.28131103515625;0.09615384787321091;376388232;DU
14;0;220.3540802001953;127.14424133300781;0.11538462340831757;376388248;DU
14;0;219.6948699951172;119.86885070800781;0.1538461595773697;376388254;DU
15;0;161.7753143310547;640.462158203125;0.13461539149284363;376388548;DU
15;0;185.9089813232422;537.5599975585938;0.09615384787321091;376388565;DU
15;0;207.50741577148438;417.6474914550781;0.09615384787321091;376388582;DU
15;0;223.99801635742188;301.23968505859375;0.13461539149284363;376388598;DU
15;0;235.5494842529297;205.55615234375;0.09615384787321091;376388615;DU
15;0;236.68605041503906;154.583251953125;0.03846153989434242;376388632;DU
16;0;159.9503631591797;631.1448364257813;0.17307692766189575;376388965;DU
16;0;181.02272033691406;543.76806640625;0.1538461595773697;376388982;DU
16;0;203.65072631835938;432.97540283203125;0.11538462340831757;376388998;DU
16;0;218.82022094726563;330.2662048339844;0.11538462340831757;376389015;DU
16;0;232.17587280273438;241.03500366210938;0.11538462340831757;376389032;DU
16;0;235.4435272216797;181.9339141845703;0.07692307978868484;376389048;DU
16;0;235.6726837158203;174.82591247558594;0.13461539149284363;376389051;DU
17;0;529.264892578125;704.4121704101563;0.1538461595773697;376389198;DU
17;0;517.9131469726563;626.879638671875;0.1538461595773697;376389215;DU
17;0;509.93310546875;559.8406372070313;0.17307692766189575;376389232;DU
17;0;504.6645812988281;473.805908203125;0.1538461595773697;376389248;DU
17;0;499.8360900878906;384.2281188964844;0.11538462340831757;376389265;DU
17;0;497.3092956542969;352.68695068359375;0.1538461595773697;376389271;DU
18;0;182.48077392578125;551.98046875;0.1538461595773697;376389432;DU
18;0;203.32667541503906;442.83184814453125;0.13461539149284363;376389448;DU
18;0;217.967041015625;339.50872802734375;0.09615384787321091;376389465;DU
18;0;231.79229736328125;245.83151245117188;0.09615384787321091;376389482;DU
18;0;235.6726837158203;184.2275390625;0.05769231170415878;376389498;DU
18;0;236.9462432861328;144.96607971191406;0.03846153989434242;376389515;DU
19;0;166.7683868408203;626.4730834960938;0.13461539149284363;376389878;DU
19;0;193.92291259765625;526.013427734375;0.09615384787321091;376389898;DU
19;0;209.0998077392578;436.1463317871094;0.13461539149284363;376389915;DU
19;0;224.0835418701172;336.9123229980469;0.1538461595773697;376389932;DU
19;0;232.2589111328125;264.10430908203125;0.13461539149284363;376389948;DU
19;0;236.2099609375;210.9202880859375;0.11538462340831757;376389965;DU
19;0;235.77598571777344;178.47824096679688;0.05769231170415878;376389982;DU
19;0;235.6726837158203;165.83294677734375;0.1538461595773697;376389993;DU
20;0;186.8811798095703;581.3117065429688;0.09615384787321091;376390298;DU
20;0;203.06031799316406;490.11614990234375;0.11538462340831757;376390315;DU
20;0;217.62158203125;388.8670349121094;0.13461539149284363;376390332;DU
20;0;232.83306884765625;287.32666015625;0.07692307978868484;376390348;DU
20;0;241.6389617919922;219.7105712890625;0.13461539149284363;376390365;DU
20;0;243.72897338867188;176.13792419433594;0.07692307978868484;376390382;DU
21;0;519.04248046875;635.4429321289063;0.11538462340831757;376390532;DU
21;0;515.310302734375;570.9713134765625;0.13461539149284363;376390548;DU
21;0;510.5614318847656;507.23614501953125;0.09615384787321091;376390565;DU
21;0;505.75714111328125;440.8718566894531;0.17307692766189575;376390582;DU
21;0;500.017333984375;379.44476318359375;0.13461539149284363;376390598;DU
21;0;499.3065185546875;370.67291259765625;0.11538462340831757;376390601;DU
22;0;191.31961059570313;577.687744140625;0.13461539149284363;376390698;DU
22;0;204.10501098632813;499.470703125;0.13461539149284363;376390715;DU
